day,hour,origen_barrio,origen_cap,cantidad,longitude,latitude
1,3,AGRONOMIA,1,21,-58.48867266,-34.59294472
1,3,ALMAGRO,1,112,-58.42174452,-34.60922726
1,3,ALMIRANTE BROWN,0,100,-58.36739785,-34.8355701
1,3,AVELLANEDA,0,149,-58.34130219,-34.67822151
1,3,BALVANERA,1,208,-58.40306169,-34.6090994
1,3,BARRACAS,1,55,-58.38427511,-34.64641752
1,3,BELGRANO,1,194,-58.45029805,-34.55489158
1,3,BERAZATEGUI,0,41,-58.15526069,-34.81793907
1,3,BOCA,1,36,-58.35687956,-34.63111612
1,3,BOEDO,1,33,-58.41883975,-34.6299599
1,3,CABALLITO,1,153,-58.44360306,-34.61682542
1,3,CHACARITA,1,51,-58.45417483,-34.58837214
1,3,COGHLAN,1,10,-58.47494433,-34.56062377
1,3,COLEGIALES,1,22,-58.45096795,-34.57464156
1,3,CONSTITUCION,1,133,-58.38438814,-34.62504415
1,3,ESCOBAR,0,18,-58.77112814,-34.32871815
1,3,ESTEBAN ECHEVERRIA,0,39,-58.47696902,-34.83120997
1,3,EZEIZA,0,20,-58.56483953,-34.87582135
1,3,FLORENCIO VARELA,0,61,-58.25863776,-34.87787299
1,3,FLORES,1,84,-58.45826804,-34.63680312
1,3,FLORESTA,1,15,-58.48358753,-34.62768578
1,3,GENERAL SAN MARTIN,0,27,-58.56430565,-34.55265233
1,3,HURLINGHAM,0,24,-58.64969436,-34.59921401
1,3,ITUZAINGO,0,37,-58.68875833,-34.63600182
1,3,JOSE C. PAZ,0,17,-58.77767109,-34.51187589
1,3,LA MATANZA,0,256,-58.62538227,-34.77012002
1,3,LANUS,0,117,-58.39547449,-34.70576064
1,3,LINIERS,1,53,-58.51912811,-34.64379602
1,3,LOMAS DE ZAMORA,0,90,-58.42404113,-34.7555056
1,3,MALVINAS ARGENTINAS,0,11,-58.712133,-34.48730383
1,3,MATADEROS,1,41,-58.50173703,-34.65837345
1,3,MERLO,0,71,-58.74187776,-34.71088678
1,3,MONSERRAT,1,119,-58.37964847,-34.61268563
1,3,MONTE CASTRO,1,13,-58.50658095,-34.61929776
1,3,MORENO,0,53,-58.81092327,-34.61061712
1,3,MORON,0,83,-58.61984335,-34.64914107
1,3,NUEVA POMPEYA,1,59,-58.41885257,-34.65054408
1,3,NUNEZ,1,39,-58.46285879,-34.54373767
1,3,PALERMO,1,888,-58.42243478,-34.57390245
1,3,PARQUE AVELLANEDA,1,18,-58.47645528,-34.64864159
1,3,PARQUE CHACABUCO,1,21,-58.43769584,-34.63593994
1,3,PARQUE CHAS,1,44,-58.47912136,-34.58552269
1,3,PARQUE PATRICIOS,1,35,-58.40167518,-34.63755033
1,3,PATERNAL,1,43,-58.46866484,-34.59742118
1,3,PILAR,0,17,-58.90344139,-34.44819902
1,3,PRESIDENTE PERON,0,7,-58.39809124,-34.9298313
1,3,PUERTO MADERO,1,10,-58.35571275,-34.60905372
1,3,QUILMES,0,58,-58.27674869,-34.73506242
1,3,RECOLETA,1,237,-58.39521874,-34.58623775
1,3,RETIRO,1,140,-58.37592173,-34.58841231
1,3,SAAVEDRA,1,33,-58.4887446,-34.55307606
1,3,SAN CRISTOBAL,1,37,-58.40188403,-34.6238645
1,3,SAN FERNANDO,0,28,-58.56629736,-34.45545665
1,3,SAN FERNANDO,0,28,-58.55408337,-34.14166569
1,3,SAN ISIDRO,0,114,-58.53753207,-34.48729629
1,3,SAN MIGUEL,0,95,-58.69170552,-34.55209197
1,3,SAN NICOLAS,1,188,-58.38051517,-34.60366599
1,3,SAN TELMO,1,43,-58.37154103,-34.62152049
